hypothesis,premise,label
L'adulte cherche de l'argent dans les rues.,adulte avec bottes rouges et sacs de poche marchant dans la rue à côté d'un mur de bord.,1
Une femme ne porte pas de chaussures.,"Une femme en jeans, en sneaker et en sneakers qui marche sur un trottoir pendant la messagerie.",2
Une personne forme un animal de compagnie.,Un chien brun regarde tandis que les doigts d'une personne sont dans sa bouche.,1
"De nombreuses personnes se sont rassemblées à l'extérieur, assise sur des chaises et dans l'herbe.","De nombreuses personnes se sont rassemblées à l'extérieur, assise sur des bancs et dans l'herbe.",2
Un homme et un petit garçon traversent la rue et baguent tout.,Un homme et un petit garçon traversent la rue.,1
Les humains qui détiennent des documents,Un groupe de personnes qui occupent des documents autour d'un stand de microphone.,0
Deux femmes tentent de prendre une balle.,Deux femmes s'envolent avec des bâtonnets pour un ballon lors d'un jeu sportif.,1
Certains hommes sont heureux à un concert.,Groupe de personnes dansent avec sourire sur leurs visages.,1
un chien joue avec un chat,Un homme noir et un grand chien d'or se trouvent sur la plage.,2
L'homme saute d'une falaise.,Un garçon grimpant dans une zone rocheuse.,2
Une femme hange son bras dans une fenêtre.,Une femme dans une chemise rouge hange son bras à l'extérieur d'une fenêtre.,0
"Elle ne s'est pas écoulée en mois, ce qui a entraîné des conditions de sécheresse.","Deux hommes et une femme se rassemblent sur une rue humide portant des vestes, des chapeaux et la femme porte un parapluie.",2
Les femmes sont très loin de toute eau.,Trois femmes à mains approchent les vagues sur une plage grise.,2
Le petit garçon est à la natation.,Un garçon souriant de cheveux blonds et d'un filet sur un pôle s'éloigne de la marée sur une plage à roches et d'algues.,2
Un groupe se penche sur un igloo.,"Un groupe de 11 personnes en hiver portent des haricots, des vestes de ski, des gants et des sacs à dos dans des pagaies de neige à l'extérieur d'une maison de blocs de glace, tandis qu'une personne devant la porte semble les diriger.",1
L'homme est le grand-père de la fille.,Un homme épouse une fille souriante.,1
Le nouveau-né est content.,Un nouveau-né dans une chemise bleue crie.,2
Les hommes nettoyent les fenêtres d'un grand hôpital.,Deux hommes nettoyent les fenêtres suspendues par des fils.,1
Un groupe de femmes regarde les liants.,Un groupe de femmes regarde les liants et joue le tambourin.,0
Le randonneur joigne à travers le ruisseau.,Un randonneur marche sur un chemin rocheux à côté d'un champ d'herbe sauvage.,2
Deux personnes sont à l’extérieur,Deux hommes empruntent un chemin de terre.,0
Les femmes portent des combinaisons de bain d'une pièce.,Deux jeunes femmes portant des pantalons et des shorts de bain se promènent à côté de l'autre tandis qu'un homme portant un t-shirt vert et des shorts de couleur rouge se trouvent derrière elles.,2
Il y a deux hommes.,Deux hommes dans une salle de gymnase d’école portaient des engins de clôture et l’un plongait profondément à l’autre pour le percer dans le flanc gauche.,0
Il y a un homme dans un chandail rouge.,"Un homme dans une chemise bleue à boutons en bas qui s'adresse à une foule, tandis que les hommes sur scène regardent.",2
Un enfant et un adulte regardent un rooster en cage sur une table.,"Un adulte et un enfant, tous deux portant des chapeaux, se trouvent à l'extérieur et regardent un rooster noir et blanc dans une cage.",1
Il est nuageux à l'extérieur.,Le soleil brille sur le front de l'homme et il doit être chaud avec le chapeau.,2
Les gens dansent au ballon.,Deux personnes assises autour d'un feu de camp.,2
un homme dans un chapeau peint,Un homme portant un chapeau et une chemise bleue à boutons ensoleillés peint une scène de la ville à l'extérieur ensoleillée.,0
Une fille est assise dans une tubulure remplie d'eau.,Une petite fille est assise dans une tubulure métallique remplie d'eau.,0
Un seul homme en Amérique siège à l'intérieur de sa maison,Un rassemblement dans un pays étranger.,2
La famille est de six personnes.,Une famille de six personnes qui apprécient leur temps à l'extérieur et qui ne s'en trouvent pas à l'aise.,0
Un garçon sans sommet prend un sommeil.,Un jeune garçon sans chemise pond sur un canapé avec ses yeux fermés et sa main sur la poitrine.,1
Un homme dans une chaussée-citernes contrôle une machine.,L'homme dans le têton à capuchon contrôle la grande machine.,2
Il y a quelques plantes sauvages.,Les plantes ou les arbustes n'ont pas été parés et sont surdimensionnés.,0
Une cuisine vide.,Un homme en châssis verte tient une pincée rouleuse alors qu'il fume une cigarette dans une cuisine encombrée.,2
Un groupe d'enfants écrivent sur un craig.,Les élèves se trouvent en escalier pendant qu'ils attendent et vérifient leurs appareils électroniques.,2
Un skieur novice se rend lentement sur une piste,Le skieur fait un revers.,2
Un vieux homme évite le soleil.,Un homme âgé dans une veste rouge qui protège son visage contre le soleil.,0
Un homme écoutant un Walkman.,Une femme portant des lunettes de soleil écoute un Walkman et fume une cigarette.,2
Les hommes se trouvent en ligne à un Burger King.,Un groupe d'hommes se trouvent en ligne dans un restaurant à l'éclair.,1
Un homme construit un château avec des boîtes.,L'homme dans une chemise orange et des chaussures se trouvent entre les boîtes tout en gardant une boîte à sa main.,2
Deux copains se trouvent dans un chariot de golf qui patrouille la région.,Deux copains en cowboys établissent des chapeaux sur un chariot de golf.,1
Un homme emprunte un wagon par la ville.,Un vieux homme qui emprunte un wagon ouvert tiré par un petit esclave.,1
Une femme détient quelque chose.,Une femme dans un chapeau de cowboy tient une tasse.,0
Un groupe d'amis se réunit au camp d'été.,Trois personnes marchent sur une rive du lac avec des maisons de l'autre côté.,1
Un chien gris traverse un champ.,Un gros chien mince se déplace rapidement dans un champ d'herbe.,1
Les Asiatiques en engins d'hiver travaillent à l'artisanat tandis que la neige dérive.,Un groupe d'asiens portant des vêtements d'hiver rassemble des arts et des artisanats à une table dans un pavillon tandis que les chutes de neige sont à l'extérieur.,0
Certaines femmes dansent et d'autres clapping.,Un groupe de femmes danse tandis que l'autre femme regarde et claque.,0
Une personne tient un microphone,Face heureuse de l'homme parlant au microphone tenue en main devant l'édifice de briques.,0
Il y a un homme qui garnit une sauce barbecue sur son collation préférée.,Un homme dans un t-shirt à boutons colorés givrant sur quelque chose semblait être une sauce barbecue.,1
Un homme transportant.,Un homme transportant une pile de journaux sur sa tête dans une rue.,0
L'enfant n'a pas de crayon,"Un enfant est axé sur le maintien d'un crayon à la couleur, à mesure que d'autres personnes continuent à l'arrière-plan.",2
Le motocycliste porte un casque.,a Guy en noir est en moto en blanc.,1
une femme fabrique des pâtes seules,Un jeune homme ayant un tatouage de script sur son avant-bras droit fume une cigarette et tient une pinceau roulante en boue dans une cuisine murée et compacte.,2
La machine creuse un trou énorme pour sa nouvelle piscine.,La machine creuse un trou énorme sur le sol.,1
Le sac de la femme contient un sandwich de fromage.,La jeune femme avec le grand sac blanc regarde des photos dans une galerie d'art.,1
Les enfants sautent sur la neige.,Les enfants sautent dans l'air au-dessus du sol couvert de neige.,0
L'enfant fait de l'exercice.,un enfant essaie l'équipement d'exercice.,0
L'homme âgé fait des achats à l'intérieur du magasin.,Un homme âgé se trouve à l'extérieur d'un magasin accompagné d'un jeune garçon avec un chariot.,2
Un chien joue avec un chat.,Une personne dans une chemise rouge monte sur une face rocheuse recouverte de poignées d'aide.,2
Un couple participe à une grande fête du jour de St. Patrick.,Une femme en costume vert et un homme d'un tie vert apparié tiennent les mains dans une foule.,1
Deux personnes se trouvent silencieusement ensemble sans interaction.,Un homme ayant des lunettes de soleil et une chemise noire nourrit la crème glacée à une fille ayant une robe orange sur qui se trouve à côté d'un sac ouvert.,2
Une femme danse sur un seau glacé.,Femme danse sur la glace.,2
L'animal a traversé la plage.,Le chien a traversé la plage.,0
Un homme skie sur une montagne.,Une personne en casque blanc skie sur une montagne couverte de neige.,0
Un garçon et une femme sont à l'extérieur.,Un garçon à cheveux brun et une femme dans une veste blanche traversent un champ.,0
L'homme est à l'extérieur.,"Un homme roule dans des raquettes de neige à travers un champ couvert de neige, avec des montagnes en fond.",0
Une femme à l'intérieur d'un vêtement de soleil léger se balade dans la rue.,Une femme dans un manteau d'hiver à vélo sur une rue de la ville.,2
Un artiste peint une image.,Un homme peint un mur orange et jaune vigoureux.,0
Deux personnes ayant des ceintures jaunes se battent.,Deux personnes en blanc avec ceintures noires ont un match de karate.,2
Une femme emprunte un traîneau dans la neige.,Un homme portant un manteau rouge skie dans la neige.,2
Un petit enfant se prépare à nager.,Petit enfant avec des flottilles bleues sur la plage.,0
Les gens participent à un concours de course.,De nombreuses personnes ayant des autocollants numérotés sur leurs chemises marchent et courent dans un événement de 5k.,0
La fille porte un vêtement de bain.,Girl in bikini jumps of diving board.,0
L'homme mène actuellement le marathon.,Le coureur de marathon masculin sans chemise porte sur sa tête un sac à dos et un casque de robot argenté.,1
Au moins l'un d'entre eux sait comment fonctionner une caméra.,Deux femmes plus âgées se trouvent alors que l'une regarde l'autre prend une photographie de quelque chose à la distance.,0
Les enfants sont debout.,Un groupe d'enfants se trouvent à l'extérieur d'une rue.,0
Les hommes fixent un toit endommagé par une tempête.,Deux hommes travaillant sur un toit en manteaux jaunes.,1
Il n'y a pas d'observateurs.,Un homme crée sa balle à la piscine pendant un tournoi tandis que les spectateurs regardent.,2
Un garçon est à un carnaval,Un garçon dans une chemise bleue pose devant un immeuble de type igloo avec une personne qui s'envole d'une corde au-dessus de l'immeuble.,1
Deux personnes dorment sur quelques marches concrètes.,Deux personnes en uniforme rouge et blanc sur des motocyclettes rayées s'arrêtent dans une plaza à côté d'une grande paroi de marches de béton.,2
Il y a un client dans le restaurant.,Un homme qui place une commande dans un restaurant.,0
Les cyclistes femelles empruntent la rue entourée de magasins.,Fermeture d'un homme à vélo sur une route entourée de rochers.,2
Un homme décide s'il veut manger au restaurant.,Un vieux homme regardant les choix de la nourriture dans une fenêtre de restaurant.,1
Un homme se tient sur un porche.,Un homme assis dans une chaise devant un mur de photos.,2
Beat Sisters joue sur un navire de croisière.,L'équipage a appelé les Beat Sisters à jouer sur scène.,1
Un chat blanc s'enfonce sur une fenêtre.,Le grand chien brun saute dans un étang.,2
Un homme proteste.,Un homme sur un mégaphone protestant avec trois enfants au dos.,0
Le groupe d'enfants joue des jeux vidéo.,Trois garçons jouent à l'extérieur et deux tiennent une balle géante qui ressemble à un globe tandis que l'autre saute en haut.,2
Elle cuisine le dîner.,Une femme tire un wagon avec deux chiffons.,2
L'homme fouille dans le sol.,Un homme excave quelque chose enfoui dans le sol alors que d'autres gens regardent.,0
Une fille assise sur une chaise.,Une fille à visage de chat peint s'asseoir au-dessus des épaules d'une femme en prenant une image d'une autre femme à cheveux rouges en tant qu'ange.,2
